medium	description	compound	name
lmn2_medium	M9 medium containing Laminarin as sole carbon source	lmn2	Laminarin
lmn2_medium	M9 medium containing Laminarin as sole carbon source	ca2	Ca2+
lmn2_medium	M9 medium containing Laminarin as sole carbon source	cl	Cl-
lmn2_medium	M9 medium containing Laminarin as sole carbon source	cobalt2	Co2+
lmn2_medium	M9 medium containing Laminarin as sole carbon source	cu2	Cu2+
lmn2_medium	M9 medium containing Laminarin as sole carbon source	fe2	Fe2+
lmn2_medium	M9 medium containing Laminarin as sole carbon source	fe3	Fe3+
lmn2_medium	M9 medium containing Laminarin as sole carbon source	h2o	H2O
lmn2_medium	M9 medium containing Laminarin as sole carbon source	h	H+
lmn2_medium	M9 medium containing Laminarin as sole carbon source	k	K+
lmn2_medium	M9 medium containing Laminarin as sole carbon source	mg2	Mg
lmn2_medium	M9 medium containing Laminarin as sole carbon source	mn2	Mn2+
lmn2_medium	M9 medium containing Laminarin as sole carbon source	mobd	Molybdate
lmn2_medium	M9 medium containing Laminarin as sole carbon source	na1	Na+
lmn2_medium	M9 medium containing Laminarin as sole carbon source	nh4	Ammonium
lmn2_medium	M9 medium containing Laminarin as sole carbon source	ni2	Ni2+
lmn2_medium	M9 medium containing Laminarin as sole carbon source	o2	O2
lmn2_medium	M9 medium containing Laminarin as sole carbon source	pi	Phosphate
lmn2_medium	M9 medium containing Laminarin as sole carbon source	so4	Sulfate
lmn2_medium	M9 medium containing Laminarin as sole carbon source	zn2	Zn2+
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	abt__D	D-Arabitol
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	ca2	Ca2+
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	cl	Cl-
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	cobalt2	Co2+
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	cu2	Cu2+
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	fe2	Fe2+
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	fe3	Fe3+
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	h2o	H2O
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	h	H+
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	k	K+
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	mg2	Mg
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	mn2	Mn2+
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	mobd	Molybdate
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	na1	Na+
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	nh4	Ammonium
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	ni2	Ni2+
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	o2	O2
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	pi	Phosphate
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	so4	Sulfate
abt__D_medium	M9 medium containing D-Arabitol as sole carbon source	zn2	Zn2+
but_medium	M9 medium containing Butyric Acid as sole carbon source	but	Butyric Acid
but_medium	M9 medium containing Butyric Acid as sole carbon source	ca2	Ca2+
but_medium	M9 medium containing Butyric Acid as sole carbon source	cl	Cl-
but_medium	M9 medium containing Butyric Acid as sole carbon source	cobalt2	Co2+
but_medium	M9 medium containing Butyric Acid as sole carbon source	cu2	Cu2+
but_medium	M9 medium containing Butyric Acid as sole carbon source	fe2	Fe2+
but_medium	M9 medium containing Butyric Acid as sole carbon source	fe3	Fe3+
but_medium	M9 medium containing Butyric Acid as sole carbon source	h2o	H2O
but_medium	M9 medium containing Butyric Acid as sole carbon source	h	H+
but_medium	M9 medium containing Butyric Acid as sole carbon source	k	K+
but_medium	M9 medium containing Butyric Acid as sole carbon source	mg2	Mg
but_medium	M9 medium containing Butyric Acid as sole carbon source	mn2	Mn2+
but_medium	M9 medium containing Butyric Acid as sole carbon source	mobd	Molybdate
but_medium	M9 medium containing Butyric Acid as sole carbon source	na1	Na+
but_medium	M9 medium containing Butyric Acid as sole carbon source	nh4	Ammonium
but_medium	M9 medium containing Butyric Acid as sole carbon source	ni2	Ni2+
but_medium	M9 medium containing Butyric Acid as sole carbon source	o2	O2
but_medium	M9 medium containing Butyric Acid as sole carbon source	pi	Phosphate
